,year,month,day,hour,minute,second,cc,nchannel
0,2020,6,9,0,2,51.35,0.13212382597116706,5
1,2020,6,9,0,56,45.85,0.09191530852892349,5
2,2020,6,9,1,13,14.45,0.10529315597655649,5
3,2020,6,9,1,18,16.9,0.10184249609826909,5
4,2020,6,9,2,53,42.65,0.11916471511411175,5
5,2020,6,9,2,57,37.3,0.1065427894930624,5
6,2020,6,9,2,57,39.3,0.11643183655691569,5
7,2020,6,9,6,3,4.55,0.12367698187433815,5
8,2020,6,9,10,9,9.95,0.155530784374572,5
9,2020,6,9,10,10,1.35,0.13726030951623525,5
10,2020,6,9,16,23,48.95,0.16053345463475316,5
11,2020,6,9,16,41,31.45,0.1210644721912462,5
12,2020,6,9,18,19,43.95,0.11233149149817219,5
13,2020,6,9,20,47,42.9,0.10083984633962093,5
14,2020,6,9,21,11,49.45,0.15624519442396362,5
15,2020,6,9,21,53,22.8,0.09990016376640183,5
16,2020,6,9,23,7,34.35,0.10370017610095475,5
17,2020,6,9,23,16,21.35,0.10753709812606072,5
18,2020,6,9,23,21,38.35,0.10287509169348188,5
