,year,month,day,hour,minute,second,cc,nchannel
0,2020,10,8,0,46,41.7,0.16064517476401818,4
1,2020,10,8,1,4,35.2,0.1421713937142822,4
2,2020,10,8,2,15,33.6,0.13646739707174657,4
3,2020,10,8,2,33,5.35,0.1106453227600059,4
4,2020,10,8,3,27,28.05,0.10236056156899645,5
5,2020,10,8,3,32,0.95,0.1086693524034987,5
6,2020,10,8,4,0,34.35,0.0972650596998713,5
7,2020,10,8,5,27,3.9,0.19555976653519,5
8,2020,10,8,5,29,42.45,0.139275697403767,5
9,2020,10,8,5,43,41.25,0.09844317348006668,5
10,2020,10,8,6,29,17.2,0.09563552244485374,5
11,2020,10,8,6,29,18.9,0.09828296684383757,5
12,2020,10,8,6,35,51.05,0.1042364922202452,5
13,2020,10,8,6,50,49.05,0.14597785616654682,5
14,2020,10,8,7,13,24.4,0.0949955924220237,5
15,2020,10,8,7,37,41.05,0.09349445415962332,5
16,2020,10,8,7,45,31.15,0.15676768311853068,5
17,2020,10,8,7,57,23.2,0.12022184886610902,5
18,2020,10,8,8,48,34.55,0.10759627292493461,5
19,2020,10,8,10,14,21.6,0.15671247916436853,5
20,2020,10,8,10,31,8.4,0.11120847855786206,5
21,2020,10,8,10,47,43.45,0.12535795951139578,5
22,2020,10,8,11,4,32.05,0.15285162041021477,5
23,2020,10,8,11,37,48.7,0.11564748835747785,5
24,2020,10,8,11,46,38.7,0.12678315483707908,5
25,2020,10,8,11,48,24.0,0.12195079764607483,5
26,2020,10,8,12,46,58.35,0.13466004452071317,5
27,2020,10,8,13,2,12.5,0.10541908125574699,5
28,2020,10,8,13,16,20.25,0.1128697967877084,5
29,2020,10,8,13,22,21.95,0.13411836393554105,5
30,2020,10,8,13,47,48.0,0.10171955481045605,5
31,2020,10,8,13,57,54.2,0.10104930727229253,5
32,2020,10,8,14,8,9.55,0.10193453904969382,5
33,2020,10,8,15,31,4.6,0.17334218545844612,4
34,2020,10,8,15,35,10.3,0.16331974946259695,4
35,2020,10,8,15,50,22.95,0.11211546091376345,4
36,2020,10,8,17,17,43.4,0.146149911337844,5
37,2020,10,8,17,20,21.1,0.10029074651876742,5
38,2020,10,8,17,20,28.0,0.1828947349738121,5
39,2020,10,8,18,0,34.0,0.1260253533536004,5
40,2020,10,8,18,36,41.45,0.12365450709096297,5
41,2020,10,8,20,16,23.1,0.1067215128114372,5
42,2020,10,8,20,24,55.85,0.10894555043746504,5
43,2020,10,8,21,8,4.4,0.14381383947472465,5
44,2020,10,8,21,46,20.6,0.10443762691374243,5
45,2020,10,8,22,47,29.0,0.12273590432986518,5
