,year,month,day,hour,minute,second,cc,nchannel
0,2020,10,12,0,7,44.45,0.1273214828077588,5
1,2020,10,12,2,0,26.25,0.10441069769104054,5
2,2020,10,12,2,0,27.6,0.09342089184562688,5
3,2020,10,12,2,49,58.05,0.16802226639473178,5
4,2020,10,12,3,14,51.15,0.1487740025063148,5
5,2020,10,12,3,24,12.65,0.15481180457221427,5
6,2020,10,12,3,28,40.7,0.1162256831266526,5
7,2020,10,12,3,54,48.0,0.1489548362551403,5
8,2020,10,12,4,12,49.6,0.09136969572159184,5
9,2020,10,12,9,19,57.6,0.10539128310612007,5
10,2020,10,12,14,13,10.55,0.11252371682641209,5
11,2020,10,12,14,13,30.9,0.10175621130601979,5
12,2020,10,12,14,14,49.7,0.09341245973689132,5
13,2020,10,12,14,15,11.6,0.12984850568069392,5
14,2020,10,12,14,16,1.65,0.13644288636221702,5
15,2020,10,12,14,16,5.7,0.10793467436637016,5
16,2020,10,12,14,20,24.95,0.12875571277530154,5
17,2020,10,12,14,46,11.0,0.09020147419906607,5
18,2020,10,12,14,46,12.35,0.11277394080468159,5
19,2020,10,12,17,10,10.1,0.10785584057129552,5
20,2020,10,12,19,8,59.2,0.12275061950232521,5
21,2020,10,12,20,48,22.6,0.10516627966235428,5
22,2020,10,12,23,15,48.2,0.12455612423381486,5
