,year,month,day,hour,minute,second,cc,nchannel
0,2020,8,30,0,5,40.25,0.0917640181363413,5
1,2020,8,30,0,16,50.1,0.09477140902807604,5
2,2020,8,30,1,35,55.4,0.16236155824499607,5
3,2020,8,30,2,36,15.4,0.11475164765145746,4
4,2020,8,30,4,2,55.05,0.14351096296519267,4
5,2020,8,30,6,13,21.4,0.11992577637638066,4
6,2020,8,30,6,13,51.35,0.13088062446997922,4
7,2020,8,30,6,48,56.5,0.12594449979573807,4
8,2020,8,30,7,56,19.3,0.1424640166955124,4
9,2020,8,30,9,29,15.4,0.09647519281332062,5
10,2020,8,30,9,55,24.85,0.09850186446772774,5
11,2020,8,30,10,18,13.35,0.18398141766581472,4
12,2020,8,30,11,6,43.8,0.10584747204309289,5
13,2020,8,30,13,6,28.9,0.10121742161325675,5
14,2020,8,30,14,19,17.4,0.1376805389206898,5
15,2020,8,30,15,6,25.1,0.10499470140798928,5
16,2020,8,30,19,1,33.0,0.11363462021806466,5
17,2020,8,30,19,38,7.95,0.09947231843836629,5
18,2020,8,30,21,35,27.7,0.10870040268735129,5
19,2020,8,30,22,30,41.55,0.1193391628133236,5
20,2020,8,30,22,31,15.25,0.11557899234514275,5
21,2020,8,30,22,33,6.15,0.13278574535099977,5
22,2020,8,30,22,34,17.6,0.10367755076184804,5
