,year,month,day,hour,minute,second,cc,nchannel
0,2020,9,24,0,50,42.85,0.1263534200246677,4
1,2020,9,24,0,56,32.0,0.10845795103251557,4
2,2020,9,24,4,59,8.75,0.13205893321951728,5
3,2020,9,24,5,50,35.1,0.1298730394000806,5
4,2020,9,24,7,18,24.95,0.1049963114021665,5
5,2020,9,24,8,3,43.55,0.09623631006751293,5
6,2020,9,24,8,23,56.7,0.11437518683233047,5
7,2020,9,24,8,59,38.65,0.12074839899581469,5
8,2020,9,24,11,0,37.9,0.09851713001828101,5
9,2020,9,24,18,42,55.9,0.10760643957886878,4
10,2020,9,24,19,20,38.2,0.0913328906839097,5
11,2020,9,24,22,6,54.75,0.09376472488869504,5
12,2020,9,24,22,11,24.75,0.10882425384354262,5
