,year,month,day,hour,minute,second,cc,nchannel
0,2020,9,30,1,5,28.9,0.12156547003237546,5
1,2020,9,30,6,49,44.3,0.09657931896160718,5
2,2020,9,30,8,31,8.15,0.10600514400111538,5
3,2020,9,30,10,16,57.2,0.11098896533911744,5
4,2020,9,30,10,34,14.1,0.10059465977318127,5
5,2020,9,30,12,2,23.65,0.1014283820373472,5
6,2020,9,30,12,52,10.9,0.10841323965628866,5
7,2020,9,30,15,40,39.55,0.09197766090795978,5
8,2020,9,30,16,36,0.6,0.12203008271695825,5
9,2020,9,30,18,18,18.15,0.1354855941662324,4
10,2020,9,30,18,20,19.45,0.1430855800141112,4
11,2020,9,30,18,38,42.75,0.13590938831274593,4
12,2020,9,30,18,40,3.25,0.15351333126818612,4
13,2020,9,30,18,40,7.25,0.1874465469771014,4
