,year,month,day,hour,minute,second,cc,nchannel
0,2020,5,13,4,44,8.05,0.07567383299998723,9
1,2020,5,13,9,56,44.15,0.09809522227332063,9
2,2020,5,13,12,21,33.3,0.1493690891249169,7
3,2020,5,13,12,25,3.85,0.10877561076604812,7
4,2020,5,13,12,34,38.85,0.1088731059696478,7
5,2020,5,13,14,13,34.15,0.09936806234259278,9
6,2020,5,13,14,14,42.75,0.1145016131142474,9
7,2020,5,13,14,19,11.7,0.07793860005665151,9
8,2020,5,13,14,19,55.6,0.08262068117990956,9
9,2020,5,13,14,23,45.6,0.09209219641410711,9
10,2020,5,13,14,24,27.25,0.07444984169995773,9
11,2020,5,13,14,24,59.2,0.07823059295120692,9
12,2020,5,13,14,25,31.1,0.09007530935622886,9
13,2020,5,13,14,28,39.75,0.07543138288339879,9
14,2020,5,13,14,30,44.15,0.13326560860728343,9
15,2020,5,13,14,31,58.3,0.07583366785499537,9
16,2020,5,13,14,32,48.0,0.07871070012736421,9
17,2020,5,13,14,34,32.3,0.07834709811612947,9
18,2020,5,13,14,38,3.1,0.1027949707302186,9
19,2020,5,13,15,29,46.9,0.07789418061015614,8
20,2020,5,13,22,5,21.85,0.083343339854684,7
21,2020,5,13,22,36,10.4,0.09171381538726511,7
