,year,month,day,hour,minute,second,cc,nchannel
0,2020,8,27,0,28,13.6,0.09756543052395984,5
1,2020,8,27,0,48,10.0,0.09537553562280371,5
2,2020,8,27,1,15,41.6,0.09965307221962616,5
3,2020,8,27,2,32,20.45,0.09737418131040942,5
4,2020,8,27,7,17,40.55,0.09859062734485259,5
5,2020,8,27,7,36,50.1,0.10773852850382151,5
6,2020,8,27,9,17,38.9,0.12040643301510677,4
7,2020,8,27,9,17,40.95,0.11903804988902725,4
8,2020,8,27,9,21,50.15,0.13775218393258873,4
9,2020,8,27,10,50,8.05,0.10658700208221054,5
10,2020,8,27,12,22,3.35,0.11876807369343556,5
11,2020,8,27,14,8,0.0,0.09836202046635807,5
12,2020,8,27,14,8,3.6,0.09038971127825499,5
13,2020,8,27,18,51,21.45,0.13169353944593962,5
14,2020,8,27,22,39,29.7,0.1082728641867601,5
15,2020,8,27,23,58,38.0,0.10752902414183149,5
16,2020,8,27,23,58,39.35,0.11759341608180052,5
