,year,month,day,hour,minute,second,cc,nchannel
0,2020,6,14,1,43,22.95,0.08307208146781066,8
1,2020,6,14,12,34,0.0,0.10572382394848323,8
2,2020,6,14,12,37,36.75,0.09919842216661535,8
3,2020,6,14,12,42,59.4,0.08886807565396591,8
4,2020,6,14,12,43,4.6,0.08221399218098083,8
5,2020,6,14,12,44,32.7,0.0836796470244812,8
6,2020,6,14,12,44,41.2,0.08592620831293035,8
7,2020,6,14,12,45,26.0,0.09417068441810292,8
8,2020,6,14,12,46,24.1,0.10670246557418482,8
9,2020,6,14,12,47,9.45,0.09510372444781837,8
10,2020,6,14,12,47,59.05,0.08949830294883244,8
11,2020,6,14,12,48,3.15,0.09891342894962128,8
12,2020,6,14,12,49,0.45,0.08141602808312974,8
13,2020,6,14,12,50,25.5,0.08102830694891876,8
14,2020,6,14,12,51,48.35,0.08834589891957585,8
15,2020,6,14,14,2,50.65,0.08538024671157325,8
16,2020,6,14,14,4,28.85,0.09584775752727712,8
17,2020,6,14,14,12,1.7,0.11500459378804491,8
18,2020,6,14,14,12,46.05,0.09775054260408635,8
19,2020,6,14,14,13,38.2,0.08792229070972116,8
20,2020,6,14,14,29,57.2,0.09838701199789683,8
