,year,month,day,hour,minute,second,cc,nchannel
0,2020,8,25,0,16,32.45,0.12345045952632816,5
1,2020,8,25,2,45,11.75,0.12274767514340809,5
2,2020,8,25,4,21,1.65,0.11985965605337423,5
3,2020,8,25,5,1,57.6,0.11386903595401134,4
4,2020,8,25,5,2,29.95,0.11786015894306956,4
5,2020,8,25,5,2,34.45,0.1364702970532489,4
6,2020,8,25,5,3,0.5,0.14493752915243371,4
7,2020,8,25,5,3,21.0,0.12654569103949315,4
8,2020,8,25,5,4,34.7,0.16571632601385633,4
9,2020,8,25,5,5,0.85,0.12805307382390121,4
10,2020,8,25,5,7,29.25,0.12025964354216172,4
11,2020,8,25,5,7,59.55,0.14878261520488026,4
12,2020,8,25,5,8,2.0,0.14372984679477147,4
13,2020,8,25,8,1,47.95,0.15856783223368892,5
14,2020,8,25,12,0,58.2,0.13765267607241613,5
15,2020,8,25,12,1,1.6,0.12659075945774573,5
16,2020,8,25,15,9,16.75,0.10598055320028406,5
17,2020,8,25,15,15,9.3,0.10124442671510012,5
18,2020,8,25,15,17,27.2,0.10433542442462077,5
19,2020,8,25,17,41,59.8,0.12094427067893877,4
20,2020,8,25,18,27,26.0,0.15368541631867447,4
21,2020,8,25,18,28,41.35,0.13761803940735762,4
22,2020,8,25,18,31,20.15,0.11441334545318267,4
23,2020,8,25,18,32,13.65,0.12432479274896961,4
24,2020,8,25,18,33,38.55,0.1346369579877555,4
25,2020,8,25,18,33,40.2,0.11372524146856891,4
26,2020,8,25,18,40,48.35,0.11992870762656317,4
27,2020,8,25,18,40,52.15,0.12693120603199787,4
28,2020,8,25,18,43,33.55,0.12213326968912089,4
29,2020,8,25,18,43,37.15,0.20386894523922974,4
30,2020,8,25,18,44,12.25,0.1501995766887103,4
31,2020,8,25,18,44,43.7,0.20229220868358766,4
32,2020,8,25,18,45,55.4,0.13255589472580448,4
33,2020,8,25,18,46,11.5,0.17793263034457302,4
34,2020,8,25,18,46,27.8,0.11678998057427473,4
35,2020,8,25,18,47,39.25,0.15094340350695185,4
36,2020,8,25,18,48,0.75,0.12197261004492695,4
37,2020,8,25,18,49,21.25,0.12342106606157466,4
38,2020,8,25,18,49,23.8,0.17274699366669868,4
39,2020,8,25,18,50,3.7,0.14636416008171269,4
40,2020,8,25,18,52,37.5,0.1212512122225957,4
41,2020,8,25,18,56,31.65,0.1205956773040644,4
42,2020,8,25,19,0,45.1,0.12183395242058043,4
43,2020,8,25,20,35,36.2,0.09960103878777074,5
44,2020,8,25,22,54,10.05,0.11574514114036283,5
