,year,month,day,hour,minute,second,cc,nchannel
0,2020,9,1,1,58,52.5,0.12246772300477135,4
1,2020,9,1,2,39,46.6,0.11910890110537224,4
2,2020,9,1,6,7,14.35,0.10157821294027895,5
3,2020,9,1,6,24,12.95,0.10914840160987622,5
4,2020,9,1,7,38,30.8,0.14967337157572172,5
5,2020,9,1,8,11,7.1,0.128240273085956,5
6,2020,9,1,10,33,37.3,0.09995160649630819,5
7,2020,9,1,10,33,38.35,0.0971854480581785,5
8,2020,9,1,15,24,10.75,0.09729385194379528,5
9,2020,9,1,15,24,12.1,0.10064308041151973,5
10,2020,9,1,16,10,30.15,0.10818413028115574,5
11,2020,9,1,18,15,43.0,0.1340253208327425,4
12,2020,9,1,18,15,45.0,0.1383475780588218,4
13,2020,9,1,18,42,23.45,0.14525964095704347,4
14,2020,9,1,18,43,47.7,0.16746838076538023,4
15,2020,9,1,18,44,44.7,0.17970201127774543,4
16,2020,9,1,19,8,32.45,0.10441389835973389,5
17,2020,9,1,20,4,29.5,0.10320651549819645,5
18,2020,9,1,20,4,31.15,0.1302037919254249,5
19,2020,9,1,20,45,13.55,0.09689840543105356,5
20,2020,9,1,21,9,5.15,0.10941094222476791,5
21,2020,9,1,23,29,10.3,0.1356829364142415,5
