,year,month,day,hour,minute,second,cc,nchannel
0,2020,10,6,1,26,55.05,0.1010580499840981,5
1,2020,10,6,2,42,43.6,0.11799753792940737,5
2,2020,10,6,4,34,25.6,0.10806102467699052,5
3,2020,10,6,5,47,42.35,0.13131882703468112,5
4,2020,10,6,8,45,10.7,0.12843762402138154,5
5,2020,10,6,8,51,10.75,0.11454128956652468,5
6,2020,10,6,9,46,49.95,0.1250220168970932,5
7,2020,10,6,9,49,51.6,0.12265139866762978,5
8,2020,10,6,14,2,23.2,0.14261717010647873,5
9,2020,10,6,17,42,0.9,0.10677672007555176,5
10,2020,10,6,18,36,21.25,0.10669190916054712,5
11,2020,10,6,18,36,22.9,0.09695594162272037,5
12,2020,10,6,18,53,20.5,0.10480933986891597,5
13,2020,10,6,20,29,27.6,0.14471346533866336,5
14,2020,10,6,20,41,20.5,0.11245930806293172,5
15,2020,10,6,21,17,39.0,0.09745778080218143,5
16,2020,10,6,21,46,50.55,0.10101878014724963,5
17,2020,10,6,22,25,10.45,0.12226201367072291,5
18,2020,10,6,23,27,58.0,0.1164567939096641,5
19,2020,10,6,23,54,50.8,0.11373311680393998,5
