,year,month,day,hour,minute,second,cc,nchannel
0,2020,9,8,3,39,40.4,0.0881161164246023,5
1,2020,9,8,5,7,26.35,0.13681377836986283,5
2,2020,9,8,8,31,45.15,0.12366983617111349,5
3,2020,9,8,9,13,2.65,0.2032667389795993,5
4,2020,9,8,11,3,51.4,0.1181717264988855,5
5,2020,9,8,12,44,18.05,0.1279993125147914,5
6,2020,9,8,13,34,25.0,0.1276034592078395,5
7,2020,9,8,14,59,42.7,0.10131260587222946,5
8,2020,9,8,20,26,5.45,0.09713225747319151,5
9,2020,9,8,20,26,7.5,0.09015687960546655,5
10,2020,9,8,23,21,38.9,0.11453812842098758,5
11,2020,9,8,23,57,5.65,0.1026524624559169,5
