,year,month,day,hour,minute,second,cc,nchannel
0,2020,10,10,1,24,17.3,0.1467946489741291,5
1,2020,10,10,1,44,5.85,0.09765065567125107,5
2,2020,10,10,1,52,8.7,0.10865233873019982,5
3,2020,10,10,2,55,38.15,0.11896540507070028,5
4,2020,10,10,4,18,27.35,0.11783709869969541,5
5,2020,10,10,5,5,16.6,0.10651577454928511,5
6,2020,10,10,6,14,30.35,0.12308027535230191,4
7,2020,10,10,6,33,22.15,0.13000737953665667,4
8,2020,10,10,7,27,47.35,0.13888833096822548,4
9,2020,10,10,9,28,6.65,0.1965035619790236,4
10,2020,10,10,9,40,45.05,0.1388779722086347,4
11,2020,10,10,15,38,59.4,0.17004549253447784,5
12,2020,10,10,19,12,57.05,0.1346739002786445,5
13,2020,10,10,21,4,37.9,0.10322606321487551,5
14,2020,10,10,21,4,40.1,0.09426912672031403,5
15,2020,10,10,21,15,15.3,0.12101970513157241,5
16,2020,10,10,21,15,17.75,0.09919679639860637,5
17,2020,10,10,23,35,47.9,0.0963296015613295,5
