,year,month,day,hour,minute,second,cc,nchannel
0,2020,9,20,5,59,3.45,0.10598579348041448,5
1,2020,9,20,6,40,11.35,0.09787369727161102,5
2,2020,9,20,10,11,55.6,0.12277179739909652,5
3,2020,9,20,15,58,53.65,0.10045509968295538,5
4,2020,9,20,22,17,59.95,0.1484839662066888,5
5,2020,9,20,23,13,18.75,0.13092927281389818,5
6,2020,9,20,23,14,26.5,0.09727326979403685,5
7,2020,9,20,23,15,55.15,0.12816323370977428,5
8,2020,9,20,23,17,14.3,0.13145171799341288,5
9,2020,9,20,23,31,30.9,0.1092495556590662,5
10,2020,9,20,23,51,39.5,0.12001326895618221,5
