,year,month,day,hour,minute,second,cc,nchannel
0,2020,10,4,0,40,45.05,0.11499642996208008,5
1,2020,10,4,0,42,12.3,0.12873766114561633,5
2,2020,10,4,0,42,14.0,0.11491127443388893,5
3,2020,10,4,0,45,28.4,0.09725153870025109,5
4,2020,10,4,0,50,1.0,0.11161220702543062,5
5,2020,10,4,1,10,37.85,0.10120229439354574,5
6,2020,10,4,2,16,15.3,0.10603283185034962,5
7,2020,10,4,3,19,36.85,0.14110468777392354,5
8,2020,10,4,4,12,11.25,0.11626000421496072,5
9,2020,10,4,4,49,16.75,0.10258886724968845,5
10,2020,10,4,4,54,39.65,0.11949728317945582,5
11,2020,10,4,4,56,21.8,0.10896675513796768,5
12,2020,10,4,4,57,29.55,0.12320100419691697,5
13,2020,10,4,5,0,58.4,0.13273900941240832,5
14,2020,10,4,5,1,51.45,0.10075866978141768,5
15,2020,10,4,5,2,17.0,0.10782794788011132,5
16,2020,10,4,5,4,22.05,0.12886609207283967,5
17,2020,10,4,5,6,52.4,0.122518204040069,5
18,2020,10,4,5,11,27.7,0.10987022234114378,5
19,2020,10,4,5,15,40.0,0.1027127085234479,5
20,2020,10,4,5,22,51.25,0.13761163508955015,5
21,2020,10,4,5,30,11.15,0.12329909395527956,5
22,2020,10,4,6,1,11.55,0.10901544860870598,5
23,2020,10,4,6,13,42.95,0.10447802699976443,5
24,2020,10,4,6,15,4.05,0.12892997846043214,5
25,2020,10,4,6,18,6.4,0.10247627738240173,5
26,2020,10,4,6,42,8.2,0.13435461976233834,5
27,2020,10,4,7,23,52.6,0.12824287676244697,5
28,2020,10,4,7,24,51.7,0.14449477737931649,5
29,2020,10,4,7,26,44.4,0.1053648963791268,5
30,2020,10,4,7,33,16.75,0.10840103336110633,5
31,2020,10,4,7,38,12.65,0.11955436037220421,5
32,2020,10,4,7,39,16.35,0.12352369951280318,5
33,2020,10,4,7,42,2.95,0.10957410653516544,5
34,2020,10,4,7,42,36.75,0.13978653563067844,5
35,2020,10,4,7,44,49.35,0.10851215756028791,5
36,2020,10,4,9,15,58.5,0.1657764233116585,4
37,2020,10,4,9,16,57.9,0.12158871848987288,4
38,2020,10,4,9,16,58.95,0.15600470964727375,4
39,2020,10,4,9,24,27.55,0.13033105192510985,4
40,2020,10,4,10,1,10.75,0.167283406480506,4
41,2020,10,4,12,50,15.05,0.15026111070243747,5
42,2020,10,4,13,51,13.1,0.20242077282543677,4
43,2020,10,4,17,2,21.4,0.13326305175526204,5
44,2020,10,4,17,19,29.1,0.09891735980584333,5
45,2020,10,4,18,59,12.95,0.11274736029939607,5
46,2020,10,4,19,44,0.5,0.1426664449795611,5
47,2020,10,4,19,46,10.7,0.11164287199965492,5
48,2020,10,4,20,17,33.35,0.10524957576861246,5
49,2020,10,4,20,44,39.3,0.13061542453916136,5
50,2020,10,4,20,53,33.4,0.1271653777981799,5
51,2020,10,4,22,7,7.7,0.15664079456101643,5
52,2020,10,4,22,28,19.95,0.10153509198748172,5
53,2020,10,4,23,59,59.6,0.1121265981952505,5
