,year,month,day,hour,minute,second,cc,nchannel
0,2020,9,9,0,32,22.85,0.08686961216110173,5
1,2020,9,9,1,20,58.15,0.09570323965364937,5
2,2020,9,9,1,20,59.9,0.114218012313079,5
3,2020,9,9,1,32,40.1,0.11663427751450942,5
4,2020,9,9,2,18,28.55,0.10190115058260626,5
5,2020,9,9,3,36,40.7,0.09734413630821855,5
6,2020,9,9,4,38,0.95,0.11446763781645652,5
7,2020,9,9,4,55,54.75,0.09145239019707861,5
8,2020,9,9,5,59,49.65,0.09530157724453328,5
9,2020,9,9,9,5,14.25,0.15310834701461268,5
10,2020,9,9,9,31,44.15,0.11091189577021894,5
11,2020,9,9,9,58,2.7,0.10662659262285071,5
12,2020,9,9,9,58,3.85,0.10090481148354025,5
13,2020,9,9,10,52,43.15,0.12364829155256966,5
14,2020,9,9,10,52,45.55,0.10782625443238632,5
15,2020,9,9,16,49,38.7,0.1106374080130148,5
16,2020,9,9,17,10,38.75,0.13679908820681652,5
17,2020,9,9,19,4,39.9,0.10518762523789513,5
18,2020,9,9,19,54,28.55,0.1122453837168715,5
19,2020,9,9,20,35,35.25,0.09782337863342888,5
20,2020,9,9,20,52,5.25,0.09751965969422587,5
21,2020,9,9,21,40,48.35,0.10817464787678896,5
