,year,month,day,hour,minute,second,cc,nchannel
0,2020,8,10,8,1,20.15,0.0765362113789347,9
1,2020,8,10,16,39,8.05,0.08453979253655691,8
2,2020,8,10,22,54,50.3,0.10515966478966224,8
3,2020,8,10,23,5,29.95,0.18390769851878078,5
4,2020,8,10,23,5,31.65,0.10578940200135618,5
5,2020,8,10,23,5,54.6,0.13858074884403224,5
6,2020,8,10,23,53,19.9,0.12012270355592972,5
7,2020,8,10,23,53,20.95,0.11719653081649424,5
8,2020,8,10,23,54,39.1,0.1137903227708433,5
9,2020,8,10,23,54,56.85,0.11380770029420251,5
10,2020,8,10,23,55,40.05,0.11009982412366257,5
