,year,month,day,hour,minute,second,cc,nchannel
0,2020,9,12,1,2,32.75,0.09539117174961713,5
1,2020,9,12,1,2,34.75,0.10751806320171813,5
2,2020,9,12,1,12,22.7,0.1183917449804763,5
3,2020,9,12,1,58,21.55,0.09961324489613907,5
4,2020,9,12,2,30,47.35,0.09914572995261368,5
5,2020,9,12,6,7,16.85,0.11793885617032199,5
6,2020,9,12,6,9,38.7,0.12886757332404145,5
7,2020,9,12,6,9,50.9,0.1374369402919237,5
8,2020,9,12,6,16,32.6,0.11033474108908885,5
9,2020,9,12,6,16,34.25,0.10283557549692904,5
10,2020,9,12,8,45,43.0,0.10763292150283132,5
11,2020,9,12,11,58,39.15,0.12717906552653327,4
12,2020,9,12,12,44,13.75,0.127339913453933,4
13,2020,9,12,12,44,16.25,0.13943248316378534,4
14,2020,9,12,13,53,6.65,0.10168113043077005,5
15,2020,9,12,13,54,37.55,0.10958038796304351,5
16,2020,9,12,21,6,36.55,0.0980721049089508,5
17,2020,9,12,21,59,53.3,0.12837998728988276,5
18,2020,9,12,22,26,36.5,0.09863451206116432,5
19,2020,9,12,23,6,40.15,0.11702096139099676,5
20,2020,9,12,23,39,59.3,0.15989975389779634,5
