,year,month,day,hour,minute,second,cc,nchannel
0,2020,9,15,0,36,12.5,0.09562557483930675,5
1,2020,9,15,2,37,55.95,0.1006696637074019,5
2,2020,9,15,3,6,3.9,0.10856967663253507,5
3,2020,9,15,3,36,33.9,0.11072975971235888,5
4,2020,9,15,3,39,22.45,0.09815830430606928,5
5,2020,9,15,3,58,50.4,0.10235883149772432,5
6,2020,9,15,4,23,12.05,0.11219606035090605,5
7,2020,9,15,5,5,0.0,0.0975251958955357,5
8,2020,9,15,6,16,48.95,0.10032274377876227,5
9,2020,9,15,6,37,47.7,0.09352501926873587,5
10,2020,9,15,6,38,11.15,0.10247861484738749,5
11,2020,9,15,7,9,25.45,0.09550932819039096,5
12,2020,9,15,9,33,5.35,0.1325632969791435,5
13,2020,9,15,11,13,21.05,0.11550633124047398,5
14,2020,9,15,11,24,3.1,0.13340087554894534,5
15,2020,9,15,12,25,48.5,0.11886002122066364,4
16,2020,9,15,12,41,35.9,0.11896177844007016,4
17,2020,9,15,15,13,30.15,0.11146314948418871,4
18,2020,9,15,15,43,52.45,0.22354787515242416,4
19,2020,9,15,16,15,45.45,0.13155589852229851,4
20,2020,9,15,16,26,33.75,0.1590848055152544,4
21,2020,9,15,18,19,45.15,0.10220916648718761,5
22,2020,9,15,19,33,28.9,0.09176542359916792,5
23,2020,9,15,21,40,15.55,0.10615175197452789,5
24,2020,9,15,23,27,51.45,0.1269376464095239,5
