,year,month,day,hour,minute,second,cc,nchannel
0,2020,9,18,0,53,20.8,0.12514451004936167,5
1,2020,9,18,1,8,27.05,0.10045659418051156,5
2,2020,9,18,1,39,26.15,0.10449046852601165,5
3,2020,9,18,3,58,4.4,0.16196745296528678,5
4,2020,9,18,7,24,40.75,0.10605145673136092,5
5,2020,9,18,8,3,45.5,0.09927627024848493,5
6,2020,9,18,11,49,8.45,0.10360060987253132,5
7,2020,9,18,11,56,38.85,0.12267355673723097,5
8,2020,9,18,13,26,47.65,0.11166855979797914,5
9,2020,9,18,16,9,56.85,0.1353495754346085,5
10,2020,9,18,17,16,46.7,0.10117663072650698,5
11,2020,9,18,18,45,40.95,0.10449613900672079,5
12,2020,9,18,19,31,8.5,0.13397403274595154,4
13,2020,9,18,21,34,53.1,0.1119043053009878,5
14,2020,9,18,21,35,40.05,0.14175519044676438,5
15,2020,9,18,21,35,46.15,0.09944439249517342,5
16,2020,9,18,21,37,3.15,0.09939741767827187,5
17,2020,9,18,21,37,26.35,0.1416565382956803,5
18,2020,9,18,21,37,48.4,0.11520057744467109,5
19,2020,9,18,21,38,16.2,0.12318684169116693,5
20,2020,9,18,21,39,26.55,0.11693013948266018,5
21,2020,9,18,21,41,28.5,0.11106533267768967,5
22,2020,9,18,21,42,7.25,0.10077716822746238,5
23,2020,9,18,21,42,11.8,0.18569035919461083,5
24,2020,9,18,21,42,56.2,0.14662042754951496,5
25,2020,9,18,21,43,9.35,0.14433499709772024,5
26,2020,9,18,21,44,14.9,0.09989146828217138,5
27,2020,9,18,21,45,17.35,0.175333916450762,5
28,2020,9,18,21,46,1.55,0.10642064501225643,5
29,2020,9,18,21,48,15.35,0.11305554996131266,5
30,2020,9,18,21,56,42.8,0.1199964000633853,5
31,2020,9,18,21,56,47.35,0.09880659544110951,5
32,2020,9,18,22,54,10.25,0.14793725013858508,5
33,2020,9,18,22,54,11.55,0.10331372834281724,5
34,2020,9,18,23,30,21.25,0.11109535687624683,5
35,2020,9,18,23,54,7.15,0.1249429411341747,5
