,year,month,day,hour,minute,second,cc,nchannel
0,2020,10,11,0,29,51.0,0.16477329412451178,5
1,2020,10,11,0,44,38.25,0.09617169464200616,5
2,2020,10,11,0,47,52.0,0.09240891880908635,5
3,2020,10,11,1,36,2.6,0.12496226769775123,5
4,2020,10,11,4,55,29.0,0.13416241900304626,5
5,2020,10,11,7,15,22.2,0.13945436333292405,5
6,2020,10,11,15,43,10.4,0.12225616285992147,5
7,2020,10,11,17,54,13.4,0.10519799220189725,5
8,2020,10,11,17,54,15.15,0.09279240159374211,5
9,2020,10,11,18,47,54.45,0.11675015592592415,5
10,2020,10,11,20,5,23.65,0.1585670824363386,5
11,2020,10,11,20,36,49.65,0.12748463720730557,5
12,2020,10,11,21,7,2.85,0.1722754616955016,5
13,2020,10,11,21,8,20.65,0.1188539456810086,5
14,2020,10,11,22,21,11.7,0.10272915292187812,5
15,2020,10,11,22,29,31.9,0.13607625298804013,5
16,2020,10,11,22,34,35.0,0.13845531456209342,5
17,2020,10,11,22,36,48.95,0.12760916438687211,5
18,2020,10,11,22,40,1.4,0.09889217479476604,5
19,2020,10,11,22,44,34.4,0.10441927376861482,5
20,2020,10,11,23,5,53.4,0.1393289346906395,5
21,2020,10,11,23,8,8.4,0.14716220333560648,5
22,2020,10,11,23,29,46.0,0.12626600569333674,5
