,year,month,day,hour,minute,second,cc,nchannel
0,2020,10,3,5,33,59.65,0.15277452819410617,5
1,2020,10,3,10,52,29.4,0.14486010860139514,5
2,2020,10,3,12,38,57.75,0.10685786032151515,5
3,2020,10,3,12,40,40.1,0.11536874492091205,5
4,2020,10,3,12,48,59.95,0.10485657524732132,5
5,2020,10,3,13,32,18.95,0.1300590307549429,5
6,2020,10,3,15,42,31.1,0.12594634859000559,5
7,2020,10,3,16,44,32.6,0.10085174269745092,5
8,2020,10,3,17,26,16.35,0.12267617540175374,4
9,2020,10,3,17,43,9.25,0.11069577380610862,4
10,2020,10,3,18,11,4.3,0.12388298652973524,5
11,2020,10,3,19,25,9.25,0.15121155536999858,4
12,2020,10,3,19,59,46.4,0.1327373942970418,4
13,2020,10,3,20,43,53.55,0.09800085722459828,5
