,year,month,day,hour,minute,second,cc,nchannel
0,2020,8,26,0,2,59.35,0.10889314561090813,4
1,2020,8,26,4,0,15.2,0.10156850300403311,5
2,2020,8,26,4,19,15.2,0.12292228233521167,5
3,2020,8,26,4,21,23.5,0.12099701038040112,5
4,2020,8,26,4,37,17.75,0.09415986021609704,5
5,2020,8,26,5,20,12.5,0.12932401024942278,5
6,2020,8,26,9,3,52.45,0.10388132723201486,5
7,2020,8,26,10,46,12.65,0.12738465942037241,5
8,2020,8,26,10,55,54.45,0.10798220577528587,5
9,2020,8,26,11,3,2.9,0.10243134402072193,5
10,2020,8,26,12,22,8.65,0.14057726281466476,4
11,2020,8,26,12,41,4.4,0.13586834161143638,4
12,2020,8,26,12,55,19.35,0.13281941903175257,4
13,2020,8,26,13,15,21.95,0.13360747499915268,4
14,2020,8,26,17,13,35.9,0.13009335080529968,4
15,2020,8,26,17,48,13.9,0.11202173929523117,4
16,2020,8,26,18,26,12.65,0.09631475328571995,5
17,2020,8,26,19,46,53.45,0.1294503061831985,5
18,2020,8,26,22,38,47.4,0.12240704423574918,5
