,year,month,day,hour,minute,second,cc,nchannel
0,2020,9,16,0,22,39.15,0.1345829376635064,5
1,2020,9,16,2,19,24.65,0.13710102046282002,5
2,2020,9,16,4,11,39.45,0.11038348381242234,4
3,2020,9,16,4,33,10.2,0.14155046078645722,4
4,2020,9,16,4,55,43.35,0.12016466682870011,4
5,2020,9,16,4,59,2.65,0.1127194996922463,4
6,2020,9,16,5,7,10.25,0.09464612280159417,5
7,2020,9,16,5,57,37.0,0.10467725331477987,5
8,2020,9,16,7,29,0.75,0.09610493327661994,5
9,2020,9,16,7,33,3.65,0.12996435878404403,5
10,2020,9,16,8,5,9.5,0.108618224758305,5
11,2020,9,16,9,25,15.9,0.1516770578622216,4
12,2020,9,16,11,31,10.7,0.13869122065595102,4
13,2020,9,16,11,49,59.8,0.12622031579062865,4
14,2020,9,16,12,1,36.8,0.09728201609394452,5
15,2020,9,16,12,10,11.1,0.0955528209164159,5
16,2020,9,16,12,26,42.15,0.09749447176915908,5
17,2020,9,16,12,31,10.1,0.0912318894302216,5
18,2020,9,16,12,39,23.75,0.12514501119827162,5
19,2020,9,16,12,41,24.75,0.10156891844235258,5
20,2020,9,16,13,10,31.0,0.13481889816868667,4
21,2020,9,16,13,16,53.15,0.21826953476382868,4
22,2020,9,16,13,25,44.25,0.17954278228619958,4
23,2020,9,16,13,31,53.1,0.13907152973256237,4
24,2020,9,16,13,35,36.8,0.12046338679694667,4
25,2020,9,16,13,41,36.45,0.1361997413969142,4
26,2020,9,16,14,0,49.6,0.12660449557223008,4
27,2020,9,16,14,10,49.2,0.1466419697442697,4
28,2020,9,16,14,12,9.5,0.1438000316183201,4
29,2020,9,16,14,51,31.5,0.1495380732165652,4
30,2020,9,16,15,14,31.2,0.11712965360880562,4
31,2020,9,16,15,52,6.95,0.13907489586747432,4
32,2020,9,16,16,11,45.85,0.12815083307942773,5
33,2020,9,16,16,24,9.25,0.10422763174335872,5
34,2020,9,16,16,46,39.85,0.1590322142036073,5
35,2020,9,16,21,19,5.0,0.11374250679742062,5
36,2020,9,16,22,15,12.0,0.09631932761926085,5
37,2020,9,16,22,49,53.4,0.0997984885832294,5
38,2020,9,16,23,15,19.1,0.12287440915585165,5
39,2020,9,16,23,55,59.3,0.11911914519608562,5
