,year,month,day,hour,minute,second,cc,nchannel
0,2020,9,5,0,49,36.65,0.10122451122837192,5
1,2020,9,5,2,57,35.2,0.09725846831621657,5
2,2020,9,5,4,16,27.3,0.13878373420609016,4
3,2020,9,5,4,31,41.65,0.14296070687298784,4
4,2020,9,5,6,6,43.75,0.11371541170287561,5
5,2020,9,5,7,12,46.7,0.1307407839971387,4
6,2020,9,5,10,15,4.2,0.10134127025221133,5
7,2020,9,5,12,9,49.1,0.17016540426001922,4
8,2020,9,5,12,10,44.05,0.13642758139125802,4
9,2020,9,5,12,20,21.8,0.1651011911471447,4
10,2020,9,5,12,32,53.65,0.15944136570023817,4
11,2020,9,5,12,43,15.6,0.14962242862818723,4
12,2020,9,5,12,44,16.45,0.2317040467566637,4
13,2020,9,5,12,46,3.1,0.19255388800986023,4
14,2020,9,5,12,46,57.95,0.17883265742435184,4
15,2020,9,5,12,47,27.0,0.16460739928958523,4
16,2020,9,5,12,49,1.4,0.13393144607291463,4
17,2020,9,5,12,50,12.9,0.1539972437419986,4
18,2020,9,5,12,54,5.55,0.177847125652622,4
19,2020,9,5,12,54,48.5,0.1357086868640438,4
20,2020,9,5,14,34,20.8,0.09542861286568578,5
21,2020,9,5,15,31,50.8,0.1439409786630183,5
22,2020,9,5,19,15,18.0,0.12068279168525635,5
23,2020,9,5,19,15,19.7,0.1262134633008693,5
