,year,month,day,hour,minute,second,cc,nchannel
0,2020,9,19,1,45,43.6,0.09871764926847687,5
1,2020,9,19,2,51,27.55,0.10764184210814118,5
2,2020,9,19,2,51,29.9,0.11557945642045404,5
3,2020,9,19,2,51,33.55,0.10950209749386246,5
4,2020,9,19,2,55,2.2,0.10112312674604262,5
5,2020,9,19,4,27,53.1,0.09510482367018837,5
6,2020,9,19,4,49,49.25,0.09878766027315296,5
7,2020,9,19,8,16,56.45,0.08841736229748448,5
8,2020,9,19,9,29,8.3,0.10765141875375481,5
9,2020,9,19,11,17,0.1,0.12713301389636006,5
10,2020,9,19,11,17,53.1,0.09623786796271704,5
11,2020,9,19,11,18,6.75,0.12633635273866345,5
12,2020,9,19,11,20,5.15,0.12738882875036223,5
13,2020,9,19,11,20,12.5,0.10640172292892894,5
14,2020,9,19,11,20,58.6,0.21229482148161877,5
15,2020,9,19,11,21,2.05,0.10691574964080335,5
16,2020,9,19,11,21,46.6,0.101509717619148,5
17,2020,9,19,11,21,52.15,0.11476728094018607,5
18,2020,9,19,11,32,25.1,0.09584100231368878,5
19,2020,9,19,17,41,54.6,0.10195068611812796,5
20,2020,9,19,18,27,51.15,0.1067008335139615,5
21,2020,9,19,20,19,1.4,0.11048279418431686,5
22,2020,9,19,21,22,59.0,0.09724469949531071,5
