,year,month,day,hour,minute,second,cc,nchannel
0,2020,9,2,1,4,43.2,0.11316437725521099,4
1,2020,9,2,2,50,58.0,0.10171612590111714,5
2,2020,9,2,2,56,33.5,0.10501286543368826,5
3,2020,9,2,3,31,20.55,0.09079068153384821,5
4,2020,9,2,4,4,0.7,0.10302477674389351,5
5,2020,9,2,6,3,48.0,0.11091949632105683,4
6,2020,9,2,6,51,19.9,0.13207386397361529,4
7,2020,9,2,7,30,19.55,0.1363424517047433,5
8,2020,9,2,7,59,44.3,0.2006646595491714,5
9,2020,9,2,9,52,31.95,0.1188856096707521,4
10,2020,9,2,13,34,23.05,0.1592212455120951,4
11,2020,9,2,13,41,27.2,0.15108044048959685,4
12,2020,9,2,15,0,47.65,0.09572031044573086,5
13,2020,9,2,15,0,48.9,0.10697543915491156,5
14,2020,9,2,16,13,16.8,0.11084251989864165,5
15,2020,9,2,17,20,41.8,0.09589291131968734,5
16,2020,9,2,17,40,41.95,0.09665728726781227,5
17,2020,9,2,18,29,57.3,0.11578376647138158,5
18,2020,9,2,18,47,57.95,0.0951818743305782,5
19,2020,9,2,18,52,12.05,0.1079722781947664,5
20,2020,9,2,19,24,54.85,0.1033599634639892,5
21,2020,9,2,19,29,40.95,0.09699917135315192,5
22,2020,9,2,21,11,2.35,0.09495334573992735,5
23,2020,9,2,22,38,39.55,0.11923033602137381,5
24,2020,9,2,23,9,18.55,0.15324803934316805,5
