,year,month,day,hour,minute,second,cc,nchannel
0,2020,8,20,2,42,47.75,0.1059813765102725,8
1,2020,8,20,7,50,12.7,0.10309544525015872,8
2,2020,8,20,7,54,21.75,0.08352087221722411,8
3,2020,8,20,7,55,43.7,0.0833525048903064,8
4,2020,8,20,7,55,45.0,0.0913201026499419,8
5,2020,8,20,8,47,15.2,0.09080259770239911,8
6,2020,8,20,9,2,19.1,0.09503699684034306,8
7,2020,8,20,9,3,54.05,0.09482571976250015,8
8,2020,8,20,9,4,34.5,0.0951208514029256,8
9,2020,8,20,9,4,35.8,0.09011899962717791,8
10,2020,8,20,9,5,28.95,0.08903711694353056,8
11,2020,8,20,9,5,32.65,0.08853587168062393,8
12,2020,8,20,9,13,6.7,0.0949419420759669,8
13,2020,8,20,9,13,33.15,0.08724100823425394,8
14,2020,8,20,9,14,30.0,0.12179104063284954,8
15,2020,8,20,9,14,31.3,0.09126550390977844,8
16,2020,8,20,9,15,34.75,0.12997672101719512,8
17,2020,8,20,9,21,22.45,0.09216750071394421,8
18,2020,8,20,9,40,29.85,0.1125001803646214,8
19,2020,8,20,9,41,7.15,0.09811319596235345,8
20,2020,8,20,14,10,29.75,0.07671714535401916,8
21,2020,8,20,15,54,55.8,0.11323591639434884,8
22,2020,8,20,17,29,5.15,0.08346276288304431,8
23,2020,8,20,17,29,7.1,0.10344297725685432,8
