,year,month,day,hour,minute,second,cc,nchannel
0,2020,9,23,5,44,39.3,0.14713168637711516,5
1,2020,9,23,5,45,8.05,0.1328872907016858,5
2,2020,9,23,5,45,47.25,0.15528477202693497,5
3,2020,9,23,5,46,41.95,0.1229462818683014,5
4,2020,9,23,5,48,26.35,0.1345077416430398,5
5,2020,9,23,5,50,31.9,0.11695710608224022,5
6,2020,9,23,5,51,23.7,0.15570797350156268,5
7,2020,9,23,5,51,25.3,0.13262961825653916,5
8,2020,9,23,5,51,35.15,0.11439290262859203,5
9,2020,9,23,5,52,51.65,0.1297038803324872,5
10,2020,9,23,5,52,56.15,0.1381860618214506,5
11,2020,9,23,5,53,56.4,0.1466365366085326,5
12,2020,9,23,5,55,1.35,0.12404990483222118,5
13,2020,9,23,5,55,11.7,0.1464366410718097,5
14,2020,9,23,5,56,18.15,0.11668009918322753,5
15,2020,9,23,5,57,18.65,0.1073934194851514,5
16,2020,9,23,5,58,1.0,0.10425339488069581,5
17,2020,9,23,5,58,23.2,0.10634394663233712,5
18,2020,9,23,5,59,21.35,0.11467544117189403,5
19,2020,9,23,5,59,38.95,0.10802862887225537,5
20,2020,9,23,6,26,27.1,0.11705601500154701,5
21,2020,9,23,6,28,8.85,0.13049821193125183,5
22,2020,9,23,6,38,47.95,0.11178430958643781,5
23,2020,9,23,6,38,49.3,0.10730653548473379,5
24,2020,9,23,6,48,36.3,0.1580418541370745,5
25,2020,9,23,6,48,52.7,0.13491938145238297,5
26,2020,9,23,6,49,59.9,0.10701776898062713,5
27,2020,9,23,6,50,1.0,0.12059040187054013,5
28,2020,9,23,6,52,0.05,0.1628962188716637,5
29,2020,9,23,6,53,13.4,0.11642857282375096,5
30,2020,9,23,6,54,46.8,0.11187351579906915,5
31,2020,9,23,6,58,12.7,0.11205970700956276,5
32,2020,9,23,7,6,33.3,0.10255387897111859,5
33,2020,9,23,7,6,36.3,0.10583539690774098,5
34,2020,9,23,7,9,34.2,0.17667685893859142,5
35,2020,9,23,7,11,11.25,0.10827494408303415,5
36,2020,9,23,7,13,42.25,0.1387329758158585,5
37,2020,9,23,7,16,54.95,0.10229870099514145,5
38,2020,9,23,7,16,57.05,0.11150056684534482,5
39,2020,9,23,7,17,27.3,0.10457877262163975,5
40,2020,9,23,7,19,59.1,0.10131941640006074,5
41,2020,9,23,7,20,0.4,0.12590013153185062,5
42,2020,9,23,7,27,30.7,0.11060164052134074,5
43,2020,9,23,7,31,29.15,0.10664846128991926,5
44,2020,9,23,7,31,31.75,0.16634781045832028,5
45,2020,9,23,7,35,1.2,0.1116432528731034,5
46,2020,9,23,7,35,31.8,0.11070971980801739,5
47,2020,9,23,7,39,54.3,0.10422012808446417,5
48,2020,9,23,7,42,40.05,0.1095550314521557,5
49,2020,9,23,7,42,41.4,0.11782266508935564,5
50,2020,9,23,7,44,29.65,0.11800733317469692,5
51,2020,9,23,7,45,6.95,0.23100575585085323,5
52,2020,9,23,7,45,38.0,0.12897491101193756,5
53,2020,9,23,7,49,0.85,0.11239030881689901,5
54,2020,9,23,7,49,29.55,0.11351034468850248,5
55,2020,9,23,7,52,19.4,0.13452344370360858,5
56,2020,9,23,7,59,50.25,0.10166261583744525,5
57,2020,9,23,8,4,47.2,0.11980290806406795,5
58,2020,9,23,8,12,59.05,0.12539921748881389,5
59,2020,9,23,8,14,48.95,0.1081494929854416,5
60,2020,9,23,8,27,14.0,0.12360696098906925,5
61,2020,9,23,8,33,43.2,0.15585577532314818,5
62,2020,9,23,8,34,41.6,0.11725742173951308,5
63,2020,9,23,8,36,23.6,0.10845256822584681,5
64,2020,9,23,8,36,27.7,0.13561675849709848,5
65,2020,9,23,8,37,7.4,0.1180764875194795,5
66,2020,9,23,8,37,50.45,0.18966408689619785,5
67,2020,9,23,8,39,17.2,0.1685563010157113,5
68,2020,9,23,8,40,6.35,0.1243512424093673,5
69,2020,9,23,8,41,16.55,0.1186824716729004,5
70,2020,9,23,8,41,17.6,0.14974012635756087,5
71,2020,9,23,8,41,19.25,0.10953259446884087,5
72,2020,9,23,8,41,20.55,0.11765259105448087,5
73,2020,9,23,8,41,58.35,0.15624846879521267,5
74,2020,9,23,8,45,50.0,0.10721349867861829,5
75,2020,9,23,8,49,35.9,0.19232893186411507,5
76,2020,9,23,8,50,30.15,0.15545202605907132,5
77,2020,9,23,8,50,35.75,0.10730508694385192,5
78,2020,9,23,8,52,6.15,0.10684163409044664,5
79,2020,9,23,8,52,8.75,0.11500345356340243,5
80,2020,9,23,8,52,9.85,0.1415536798406952,5
81,2020,9,23,8,53,12.5,0.12326177460749985,5
82,2020,9,23,8,54,34.8,0.1106152962791542,5
83,2020,9,23,8,56,23.3,0.12141070732861522,5
84,2020,9,23,8,58,53.1,0.11185962936213431,5
85,2020,9,23,8,58,56.4,0.11052154102015019,5
86,2020,9,23,8,59,2.05,0.10679754898219192,5
87,2020,9,23,8,59,52.8,0.1372362323570197,5
88,2020,9,23,8,59,54.8,0.12339159761116256,5
89,2020,9,23,9,0,32.55,0.12884421933718634,5
90,2020,9,23,9,0,56.35,0.11938759658781169,5
91,2020,9,23,9,1,27.4,0.1231603917615379,5
92,2020,9,23,9,1,37.9,0.1355975353107294,5
93,2020,9,23,9,2,37.95,0.12657605516882406,5
94,2020,9,23,9,3,21.6,0.118004240977337,5
95,2020,9,23,9,4,37.75,0.12210828251124684,5
96,2020,9,23,9,5,5.0,0.16200638558451652,5
97,2020,9,23,9,6,19.6,0.14237360413522215,5
98,2020,9,23,9,6,21.3,0.13665554912721822,5
99,2020,9,23,9,6,23.0,0.1367588315274318,5
100,2020,9,23,9,9,9.4,0.18502111923102488,5
101,2020,9,23,9,9,27.0,0.11605169998469692,5
102,2020,9,23,9,10,9.6,0.18171611677773697,5
103,2020,9,23,9,10,42.6,0.13481679881626066,5
104,2020,9,23,9,11,57.7,0.12842664605957746,5
105,2020,9,23,9,16,47.75,0.11611301707859867,5
106,2020,9,23,9,16,49.45,0.1369370155017384,5
107,2020,9,23,9,17,2.7,0.13246338255546244,5
108,2020,9,23,9,17,55.15,0.12368746819513994,5
109,2020,9,23,9,18,13.6,0.1931119549007019,5
110,2020,9,23,9,19,52.6,0.134765396555047,5
111,2020,9,23,9,21,4.6,0.11642727995142718,5
112,2020,9,23,9,23,33.05,0.15390581221413382,5
113,2020,9,23,9,23,41.65,0.13048573502418315,5
114,2020,9,23,9,27,5.65,0.1433972710370844,5
115,2020,9,23,9,28,4.85,0.1360556841563701,5
116,2020,9,23,9,29,18.35,0.11523227004618716,5
117,2020,9,23,9,35,1.9,0.12051456616007876,5
118,2020,9,23,9,35,52.4,0.1159228419728052,5
119,2020,9,23,9,36,29.05,0.13073480033879176,5
120,2020,9,23,9,36,34.1,0.12253584933301047,5
121,2020,9,23,9,36,36.5,0.13378077554581772,5
122,2020,9,23,9,37,32.85,0.11943153971458205,5
123,2020,9,23,9,38,29.8,0.16214362741746022,5
124,2020,9,23,9,39,16.9,0.18433372245697094,5
125,2020,9,23,9,40,22.1,0.12473157784834499,5
126,2020,9,23,9,41,26.55,0.2083610380416725,5
127,2020,9,23,9,42,11.45,0.15626841372405942,5
128,2020,9,23,9,43,14.3,0.1291434099318401,5
129,2020,9,23,9,43,16.65,0.11470395887377934,5
130,2020,9,23,9,44,57.65,0.20953920128516193,5
131,2020,9,23,9,45,25.0,0.1307064991313838,5
132,2020,9,23,9,48,36.7,0.17349222041684226,5
133,2020,9,23,9,53,15.8,0.16434341361687305,5
134,2020,9,23,9,59,34.55,0.12215945772903276,5
135,2020,9,23,10,0,50.55,0.13973621949459097,5
136,2020,9,23,10,43,17.35,0.10359075496505268,5
137,2020,9,23,10,46,33.25,0.1872124369243807,5
138,2020,9,23,10,49,27.55,0.1428237420022967,5
139,2020,9,23,10,50,34.95,0.10314311638890172,5
140,2020,9,23,10,51,2.5,0.10593898495613066,5
141,2020,9,23,10,51,29.85,0.1431944234198284,5
