,year,month,day,hour,minute,second,cc,nchannel
0,2020,4,25,16,33,22.5,0.07422907999538475,9
1,2020,4,25,16,39,44.45,0.09328507810030634,9
2,2020,4,25,16,39,46.1,0.07887477412033556,9
3,2020,4,25,16,46,45.6,0.07541050080095409,9
4,2020,4,25,16,48,14.7,0.07551398567151175,9
5,2020,4,25,16,51,49.5,0.075241607596499,9
6,2020,4,25,17,45,30.1,0.07873906482406984,9
7,2020,4,25,18,17,45.8,0.09783174131516124,9
8,2020,4,25,18,25,18.45,0.11207637189650026,9
9,2020,4,25,18,30,17.3,0.0789912539552439,9
10,2020,4,25,18,30,49.65,0.08541289579291864,9
11,2020,4,25,18,35,38.15,0.08381532967920972,9
12,2020,4,25,18,35,40.2,0.07883709687328874,9
13,2020,4,25,18,40,35.2,0.08035829025526903,9
14,2020,4,25,18,43,8.15,0.07852699625665605,9
15,2020,4,25,18,45,26.75,0.08521552771284141,9
16,2020,4,25,23,47,23.85,0.11336587605532371,6
