,year,month,day,hour,minute,second,cc,nchannel
0,2020,9,6,6,14,2.9,0.10222198703011809,5
1,2020,9,6,7,30,18.65,0.10481682348549444,5
2,2020,9,6,8,40,28.9,0.12663037253249004,5
3,2020,9,6,9,9,9.65,0.18470965864219158,5
4,2020,9,6,9,12,9.45,0.12482843651525673,5
5,2020,9,6,9,13,42.5,0.1632590820103706,5
6,2020,9,6,9,14,9.1,0.10986000051539072,5
7,2020,9,6,9,14,35.5,0.1585251630767916,5
8,2020,9,6,9,15,29.4,0.1637932752676359,5
9,2020,9,6,9,15,46.65,0.11297487521193769,5
10,2020,9,6,9,16,17.95,0.14739230801851538,5
11,2020,9,6,9,16,44.4,0.14414449841472904,5
12,2020,9,6,9,18,9.5,0.17210339735461283,5
13,2020,9,6,9,18,58.95,0.15974404379741505,5
14,2020,9,6,9,19,39.15,0.13086407929651755,5
15,2020,9,6,9,20,55.95,0.14324929488663815,5
16,2020,9,6,9,21,59.4,0.11078228447221503,5
17,2020,9,6,9,22,7.9,0.15908858657981934,5
18,2020,9,6,9,25,13.45,0.1408854182868965,5
19,2020,9,6,9,26,46.6,0.10995480652216783,5
20,2020,9,6,9,27,24.05,0.26970109766245454,5
21,2020,9,6,9,29,38.7,0.11364404336693415,5
22,2020,9,6,9,31,12.8,0.11876620704724913,5
23,2020,9,6,9,34,12.35,0.14348734243223638,5
24,2020,9,6,9,36,58.4,0.12007204593848271,5
25,2020,9,6,9,49,31.7,0.11171147784470933,5
26,2020,9,6,9,49,59.4,0.1739549274156542,5
27,2020,9,6,10,5,53.9,0.12493723147990174,5
28,2020,9,6,10,57,14.1,0.10883328799249678,5
29,2020,9,6,12,19,48.45,0.11201221668821475,5
30,2020,9,6,13,55,59.75,0.18090816742759358,4
31,2020,9,6,13,56,46.1,0.16731040016330415,4
32,2020,9,6,14,5,1.65,0.1083522957475915,5
33,2020,9,6,14,5,22.25,0.10647945663648484,5
34,2020,9,6,14,59,27.25,0.13281056858894064,5
35,2020,9,6,19,6,22.65,0.09664513179155067,5
36,2020,9,6,22,53,51.75,0.09906071892169833,5
37,2020,9,6,23,8,44.35,0.10225133459833995,5
38,2020,9,6,23,23,47.05,0.11300536199656115,5
