,year,month,day,hour,minute,second,cc,nchannel
0,2020,8,19,0,55,22.85,0.09106927332100438,6
1,2020,8,19,0,59,39.45,0.09314798325130054,6
2,2020,8,19,1,59,36.2,0.07559428394180524,9
3,2020,8,19,2,0,40.65,0.07544548885485342,9
4,2020,8,19,2,4,17.35,0.08884085896714071,9
5,2020,8,19,2,7,56.6,0.07451535930494715,9
6,2020,8,19,2,9,18.0,0.08005497997381408,9
7,2020,8,19,2,39,24.75,0.07643833628570013,9
8,2020,8,19,3,10,4.55,0.08208343060323757,9
9,2020,8,19,4,26,15.65,0.07548219627205771,9
10,2020,8,19,13,58,41.1,0.08775701133146803,8
11,2020,8,19,13,58,42.75,0.08273843218508661,8
12,2020,8,19,14,22,26.5,0.08834250034978249,8
13,2020,8,19,14,23,37.05,0.08697666080601703,8
14,2020,8,19,15,54,57.0,0.08084646509830709,9
15,2020,8,19,18,19,34.25,0.0987480168949896,8
16,2020,8,19,19,27,49.8,0.09243896902801964,8
17,2020,8,19,19,51,31.65,0.09234643066919039,8
18,2020,8,19,19,58,15.5,0.0805777140880573,8
19,2020,8,19,22,19,27.5,0.0879773107248794,8
20,2020,8,19,22,23,22.5,0.08278516918155682,8
