,year,month,day,hour,minute,second,cc,nchannel
0,2020,10,16,0,9,48.75,0.15615441978273695,5
1,2020,10,16,11,45,43.3,0.08368152821108311,5
2,2020,10,16,14,1,28.2,0.13751593810761623,4
3,2020,10,16,15,26,31.2,0.0955662761893132,4
4,2020,10,16,15,45,37.65,0.11065860910330325,4
5,2020,10,16,15,45,39.85,0.11747257711765775,4
6,2020,10,16,15,54,5.8,0.13022251935287696,4
7,2020,10,16,15,54,9.7,0.11137238178084186,4
8,2020,10,16,16,49,28.6,0.1234779662267227,4
9,2020,10,16,16,51,49.5,0.12181133895960547,4
10,2020,10,16,16,51,51.2,0.11397838591360637,4
11,2020,10,16,16,52,49.4,0.11541426815236153,4
12,2020,10,16,17,5,4.0,0.1501779733063348,4
13,2020,10,16,17,14,43.55,0.13208075022126733,4
14,2020,10,16,17,57,20.6,0.1178459283539567,4
15,2020,10,16,18,28,10.65,0.20630780666726956,4
16,2020,10,16,19,12,24.55,0.11269151484684987,4
17,2020,10,16,19,12,28.5,0.12410830634506109,4
18,2020,10,16,20,50,58.75,0.11206270030082215,4
